Compiling for 128 parallel environments...
Compilation time: 1.0869s
Running benchmark (1 samples)...

Results saved to: times.json
Collecting data...
Generating '/tmp/nsys-report-7638.qdstrm'

[1/8] [0%                          ] octax_nsys.nsys-rep
[1/8] [========================100%] octax_nsys.nsys-rep

[2/8] [0%                          ] octax_nsys.sqlite
[2/8] [========================100%] octax_nsys.sqlite
[3/8] Executing 'nvtx_sum' stats report

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)     StdDev (ns)    Style                                                  Range                                                
      0,0        8 034 667          1      8 034 667,0      8 034 667,0      8 034 667      8 034 667           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-spmd-partitioner,module=jit_rollout,program_id=87#                    
      0,0        6 700 251          4      1 675 062,0         50 308,0         32 903      6 566 731   3 261 123,0  PushPop  TSL:XlaPass:#name=call-inliner,module=jit_rollout,program_id=87#                                    
      0,0        6 289 902          1      6 289 902,0      6 289 902,0      6 289 902      6 289 902           0,0  PushPop  TSL:XlaPass:#name=copy-insertion,module=jit_rollout,program_id=87#                                  
      0,0        5 996 738          1      5 996 738,0      5 996 738,0      5 996 738      5 996 738           0,0  PushPop  TSL:XlaPassPipeline:#name=conv_canonicalization,module=jit_rollout,program_id=87#                   
      0,0        5 964 890          4      1 491 222,0      1 488 063,0      1 451 330      1 537 433      37 087,0  PushPop  TSL:XlaPass:#name=cublas-gemm-rewriter,module=jit_rollout,program_id=87#                            
      0,0        5 870 079          1      5 870 079,0      5 870 079,0      5 870 079      5 870 079           0,0  PushPop  TSL:XlaPassPipeline:#name=hlo normalization,module=jit_rollout,program_id=87#                       
      0,0        5 867 954          1      5 867 954,0      5 867 954,0      5 867 954      5 867 954           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_scatter,program_id=47#                                                
      0,0        5 281 960          1      5 281 960,0      5 281 960,0      5 281 960      5 281 960           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_scatter,program_id=41#                                                
      0,0        5 273 727         10        527 372,0        248 485,0        242 534      2 741 563     783 500,0  PushPop  TSL:XlaPass:#name=simplify-while-loops,module=jit_rollout,program_id=87#                            
      0,0        5 258 913      2 000          2 629,0          2 543,0          2 367         15 429         496,0  PushPop  TSL:Thunk:#hlo_op=copy.194#                                                                         
      0,0        5 167 508      2 000          2 583,0          2 473,0          2 273        120 533       2 647,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_dynamic_update_slice_fusion.2#          
      0,0        5 143 430      2 000          2 571,0          2 436,0          2 269        114 626       2 530,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_dynamic_update_slice_fusion.10#         
      0,0        5 143 272      2 000          2 571,0          2 512,0          2 331          5 744         223,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_dynamic_update_slice_fusion.1#          
      0,0        5 125 798      2 000          2 562,0          2 493,0          2 340         26 161         634,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_dynamic_update_slice_fusion.9#          
      0,0        5 063 873      2 000          2 531,0          2 453,0          2 262          6 774         298,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_dynamic_update_slice_fusion.5#          
      0,0        5 050 896      2 000          2 525,0          2 483,0          2 248          6 057         195,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_dynamic_update_slice_fusion.6#          
      0,0        4 937 239      2 000          2 468,0          2 419,0          2 249          4 791         212,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_dynamic_update_slice_fusion.8#          
      0,0        4 903 511      2 000          2 451,0          2 407,0          2 204          6 071         192,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_dynamic_update_slice_fusion.4#          
      0,0        4 771 482          1      4 771 482,0      4 771 482,0      4 771 482      4 771 482           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_rollout,program_id=87#                       
      0,0        4 598 067          1      4 598 067,0      4 598 067,0      4 598 067      4 598 067           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_rollout,program_id=87#                               
      0,0        4 331 880         14        309 420,0        103 233,0         95 242      2 033 015     523 630,0  PushPop  TSL:XlaPass:#name=cse,module=jit_rollout,program_id=87#                                             
      0,0        4 009 565          1      4 009 565,0      4 009 565,0      4 009 565      4 009 565           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_rollout,program_id=87#                
      0,0        3 794 730      2 000          1 897,0          1 819,0          1 686         26 360         613,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_add_fusion.1#                           
      0,0        3 737 071      2 000          1 868,0          1 822,0          1 700          3 971         172,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_compare_fusion.3#                       
      0,0        3 567 575          1      3 567 575,0      3 567 575,0      3 567 575      3 567 575           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_floor_divide,program_id=55#                                           
      0,0        3 528 251          1      3 528 251,0      3 528 251,0      3 528 251      3 528 251           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=85#                                       
      0,0        3 514 106          1      3 514 106,0      3 514 106,0      3 514 106      3 514 106           0,0  PushPop  TSL:XlaMemoryScheduler:#module=jit_rollout,program_id=87#                                           
      0,0        3 418 522          1      3 418 522,0      3 418 522,0      3 418 522      3 418 522           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=71#                                       
      0,0        3 409 207          1      3 409 207,0      3 409 207,0      3 409 207      3 409 207           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=67#                                       
      0,0        3 404 170          1      3 404 170,0      3 404 170,0      3 404 170      3 404 170           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_rollout,program_id=87#                                  
      0,0        3 401 007          1      3 401 007,0      3 401 007,0      3 401 007      3 401 007           0,0  PushPop  TSL:XlaPassPipeline:#name=remat-pipeline,module=jit_rollout,program_id=87#                          
      0,0        3 368 700          1      3 368 700,0      3 368 700,0      3 368 700      3 368 700           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit__threefry_seed,program_id=5#                                          
      0,0        3 341 250          1      3 341 250,0      3 341 250,0      3 341 250      3 341 250           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_remainder,program_id=57#                                              
      0,0        3 264 047          1      3 264 047,0      3 264 047,0      3 264 047      3 264 047           0,0  PushPop  TSL:XlaPass:#name=rematerialization,module=jit_rollout,program_id=87#                               
      0,0        3 174 771          1      3 174 771,0      3 174 771,0      3 174 771      3 174 771           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=79#                                       
      0,0        3 148 456          1      3 148 456,0      3 148 456,0      3 148 456      3 148 456           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=27#                                       
      0,0        3 117 424          1      3 117 424,0      3 117 424,0      3 117 424      3 117 424           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=73#                                       
      0,0        3 105 735          1      3 105 735,0      3 105 735,0      3 105 735      3 105 735           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=81#                                       
      0,0        3 082 396          1      3 082 396,0      3 082 396,0      3 082 396      3 082 396           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=11#                                       
      0,0        3 081 921          2      1 540 960,0      1 540 960,0      1 394 822      1 687 099     206 671,0  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit_scatter#                                                          
      0,0        3 048 075          1      3 048 075,0      3 048 075,0      3 048 075      3 048 075           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=13#                                       
      0,0        3 006 001          1      3 006 001,0      3 006 001,0      3 006 001      3 006 001           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=19#                                       
      0,0        2 956 155          1      2 956 155,0      2 956 155,0      2 956 155      2 956 155           0,0  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit__threefry_split#                                                  
      0,0        2 904 841          1      2 904 841,0      2 904 841,0      2 904 841      2 904 841           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_dynamic_slice,program_id=49#                                          
      0,0        2 865 389          1      2 865 389,0      2 865 389,0      2 865 389      2 865 389           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=31#                                       
      0,0        2 855 871          1      2 855 871,0      2 855 871,0      2 855 871      2 855 871           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=35#                                       
      0,0        2 849 759          1      2 849 759,0      2 849 759,0      2 849 759      2 849 759           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=83#                                       
      0,0        2 842 590          1      2 842 590,0      2 842 590,0      2 842 590      2 842 590           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=69#                                       
      0,0        2 820 969          1      2 820 969,0      2 820 969,0      2 820 969      2 820 969           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=75#                                       
      0,0        2 816 542          1      2 816 542,0      2 816 542,0      2 816 542      2 816 542           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=33#                                       
      0,0        2 790 145          1      2 790 145,0      2 790 145,0      2 790 145      2 790 145           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_multiply,program_id=61#                                               
      0,0        2 760 286          1      2 760 286,0      2 760 286,0      2 760 286      2 760 286           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_broadcast_in_dim,program_id=77#                                       
      0,0        2 739 448          1      2 739 448,0      2 739 448,0      2 739 448      2 739 448           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_convert_element_type,program_id=53#                                   
